SKU,Assigned_Slot,rack,bay,level,priority_score,total_demand,volatility,order_frequency,distance_to_dispatch,x_coord,y_coord
M2N3SG058,R15-B14-L07,15,14,7,0.15753711290461986,136,8.119347850893538,15,15.5,35.0,17.0
M16280088,R11-B21-L02,11,21,2,0.15700266979140048,60,10.0,4,18.5,25.0,24.0
ACL000213B0030,R22-B24-L05,22,24,5,0.15670073231863307,834,55.15018456127647,15,19.5,54.0,27.0
M16280258,R23-B23-L01,23,23,1,0.15668808897034456,24,4.0,4,21.5,55.0,26.0
M16280322,R22-B24-L01,22,24,1,0.15668808897034456,24,4.0,4,19.5,54.0,27.0
ACL000213A0005,R23-B24-L07,23,24,7,0.15636819739988794,1980,177.1747981257749,12,20.5,55.0,27.0
M16280283,R23-B24-L03,23,24,3,0.15569894699232875,24,4.08248290463863,4,20.5,55.0,27.0
M16280381,R16-B13-L06,16,13,6,0.15539287405970148,40,2.839120649181021,12,15.5,39.0,16.0
M16280559,R14-B16-L04,14,16,4,0.15503814613690903,17,3.7859388972001824,3,14.5,34.0,19.0
M16280420,R22-B23-L07,22,23,7,0.15494338074800104,26,3.7013511046643495,5,20.5,54.0,26.0
M2N3SG146,R21-B21-L01,21,21,1,0.15465617076871155,93,6.730189785247854,12,18.5,50.0,24.0
GCA0304A0-AD,R22-B23-L02,22,23,2,0.15442958707627547,200,16.865480854231357,10,20.5,54.0,26.0
M2N3SG024,R20-B20-L01,20,20,1,0.15289555208875671,104,7.74987780939842,12,18.5,49.0,23.0
M16280356,R14-B16-L02,14,16,2,0.15281546548110672,64,7.197883286739498,7,14.5,34.0,19.0
M16280208,R19-B18-L05,19,18,5,0.15280608970940948,50,11.718930554164631,3,16.5,45.0,21.0
M2N3R7023,R19-B18-L07,19,18,7,0.15267538769294525,156,10.041343108796324,15,16.5,45.0,21.0
M2N3SG131,R16-B15-L04,16,15,4,0.15265836255227025,64,6.48074069840786,8,13.5,39.0,18.0
FCL0002130005,R16-B15-L06,16,15,6,0.15258406891403728,192,14.547727095198193,12,13.5,39.0,18.0
M16280492,R19-B18-L01,19,18,1,0.1524013200099589,23,3.4351128074635335,5,16.5,45.0,21.0
M16280351,R09-B23-L02,9,23,2,0.1521411541483721,40,4.535573676110727,7,21.5,20.0,26.0
M2N3R2747,R13-B18-L02,13,18,2,0.15185890978889507,732,31.972518441371975,32,16.5,30.0,21.0
M2N3SG036,R19-B18-L02,19,18,2,0.15152470053304548,48,6.260990336999411,6,16.5,45.0,21.0
M2N3SG051,R14-B16-L06,14,16,6,0.15152470053304548,48,6.260990336999411,6,14.5,34.0,19.0
M2N3SG049,R13-B18-L04,13,18,4,0.15152470053304548,48,6.260990336999411,6,16.5,30.0,21.0
M16280328,R14-B16-L03,14,16,3,0.15134100931142164,68,10.430723848324238,5,14.5,34.0,19.0
M16280645,R23-B24-L02,23,24,2,0.1509478379693844,40,14.142135623730951,2,20.5,55.0,27.0
M16280193,R09-B24-L06,9,24,6,0.15080802427113732,24,8.48528137423857,2,20.5,20.0,27.0
